Loan.Id,Current.Loan.Amount,Term,Credit.Score,Years.in.current.job,Annual.Income,Monthly.Debt,Years.of.Credit.History,Number.of.Credit.Problems,Current.Credit.Balance,Maximum.Open.Credit,Loan.Status
1,17879,0,739,6,95357,1509.82,34.4,0,23986,40313,1
2,100000000,1,619,6,54406,1065.45,12.7,0,22938,31250,1
3,100000000,0,738,1,40480,573.47,32.7,1,3963,5669,1
4,11200,0,738,4,53965,1358.11,15.8,1,11782,25951,1
5,3608,0,731,10,47709,339.93,16.1,0,22909,25568,1
6,7877,0,738,5,47707,504.9,14.5,1,1837,6269,1
7,4732,1,701,10,62721,296.87,20.2,0,0,0,0
8,3469,0,735,5,25135,354.83,9.1,0,3646,6840,0
9,10031,0,712,6,150465,1199.96,12.5,0,17885,22583,1
10,14073,0,-1,4,-1,995.15,26.8,0,14548,23465,1
11,20044,0,741,3,91200,703.76,14.9,0,20523,25369,1
12,12473,0,-1,10,-1,821.6,13.7,0,7876,10730,1
13,3920,0,-1,8,-1,406.74,10.4,4,4776,7545,1
14,4836,0,723,10,75563,585.61,13.4,0,22361,30341,1
15,6162,0,684,10,74154,1044.33,15.7,0,4967,14395,0
16,15538,0,709,6,87479,1297.61,15,1,7687,14559,1
17,5917,0,745,6,69034,1353.07,18.5,0,18112,21690,0
18,5066,0,745,3,75983,1386.68,16.6,0,7022,32659,1
19,32596,1,739,1,175680,2078.88,19.6,0,19097,27127,1
20,5409,0,744,4,140641,890.73,19.1,0,16463,68882,1
21,18295,1,692,10,51836,622.04,38.4,0,18642,40971,1
22,4946,0,-1,6,-1,130.93,12.7,0,3712,7222,1
23,4970,0,707,1,34790,472.57,8,0,4443,7754,1
24,2412,0,739,8,25630,281.93,12.5,1,7209,26213,1
25,25245,1,711,5,68666,1247.44,14,0,16270,40074,1
26,4895,0,673,4,24473,575.1,10.8,0,1414,11399,1
27,100000000,0,745,6,65527,824.55,21.6,0,5555,9479,1
28,11867,0,-1,1,-1,1061.58,12.1,0,14302,25816,0
29,9758,0,659,2,107338,512.54,10,0,2530,4487,1
30,14918,0,744,10,61659,549.79,19.4,0,11083,21562,1
